Date,USD,Date.1,EUR,Date.2,GBP
01/15/2004 23:58:00,6.1399,01/15/2004 23:58:00,7.73381804,01/15/2004 23:58:00,11.20286154
01/16/2004 23:58:00,6.1412,01/16/2004 23:58:00,7.61017504,01/16/2004 23:58:00,11.0418776
01/19/2004 23:58:00,6.1175,01/19/2004 23:58:00,7.5551125,01/19/2004 23:58:00,10.9050555
01/20/2004 23:58:00,6.1137,01/20/2004 23:58:00,7.69225734,01/20/2004 23:58:00,11.11592934
01/21/2004 23:58:00,6.1038,01/21/2004 23:58:00,7.72374852,01/21/2004 23:58:00,11.18338236
01/22/2004 23:58:00,6.1198,01/22/2004 23:58:00,7.78499758,01/22/2004 23:58:00,11.28001536
01/23/2004 23:58:00,6.1336,01/23/2004 23:58:00,7.71545544,01/23/2004 23:58:00,11.20486048
01/26/2004 23:58:00,6.1664,01/26/2004 23:58:00,7.69813376,01/26/2004 23:58:00,11.19016608
01/27/2004 23:58:00,6.1414,01/27/2004 23:58:00,7.75843062,01/27/2004 23:58:00,11.21542468
01/28/2004 23:58:00,6.2033,01/28/2004 23:58:00,7.71442388,01/28/2004 23:58:00,11.25588785
01/29/2004 23:58:00,6.1136,01/29/2004 23:58:00,7.58453216,01/29/2004 23:58:00,11.10290896
01/30/2004 23:58:00,6.1172,01/30/2004 23:58:00,7.62876012,01/30/2004 23:58:00,11.16021968
02/02/2004 23:58:00,6.1249,02/02/2004 23:58:00,7.61263821,02/02/2004 23:58:00,11.15405539
02/03/2004 23:58:00,6.1249,02/03/2004 23:58:00,7.68246207,02/03/2004 23:58:00,11.25266628
02/04/2004 23:58:00,6.1331,02/04/2004 23:58:00,7.68784085,02/04/2004 23:58:00,11.23399927
02/05/2004 23:58:00,6.1502,02/05/2004 23:58:00,7.72834132,02/05/2004 23:58:00,11.29053716
02/06/2004 23:58:00,6.1317,02/06/2004 23:58:00,7.79032485,02/06/2004 23:58:00,11.32218405
02/09/2004 23:58:00,6.1325,02/09/2004 23:58:00,7.78152925,02/09/2004 23:58:00,11.40215725
02/10/2004 23:58:00,6.1628,02/10/2004 23:58:00,7.81381412,02/10/2004 23:58:00,11.50409876
02/11/2004 23:58:00,6.1413,02/11/2004 23:58:00,7.87744551,02/11/2004 23:58:00,11.61995373
02/12/2004 23:58:00,6.1262,02/12/2004 23:58:00,7.8507253,02/12/2004 23:58:00,11.59322088
02/13/2004 23:58:00,6.1415,02/13/2004 23:58:00,7.81383045,02/13/2004 23:58:00,11.5742709
02/16/2004 23:58:00,6.1461,02/16/2004 23:58:00,7.8424236,02/16/2004 23:58:00,11.60568063
02/17/2004 23:58:00,6.1205,02/17/2004 23:58:00,7.8685148,02/17/2004 23:58:00,11.66016455
02/18/2004 23:58:00,6.178,02/18/2004 23:58:00,7.8621228,02/18/2004 23:58:00,11.6893938
02/19/2004 23:58:00,6.1105,02/19/2004 23:58:00,7.76094605,02/19/2004 23:58:00,11.6026174
02/20/2004 23:58:00,6.1515,02/20/2004 23:58:00,7.7127507,02/20/2004 23:58:00,11.45101725
02/23/2004 23:58:00,6.1578,02/23/2004 23:58:00,7.7403546,02/23/2004 23:58:00,11.50153884
02/24/2004 23:58:00,6.1444,02/24/2004 23:58:00,7.78679812,02/24/2004 23:58:00,11.6098438
02/25/2004 23:58:00,6.1518,02/25/2004 23:58:00,7.68975,02/25/2004 23:58:00,11.51678478
02/26/2004 23:58:00,6.15,02/26/2004 23:58:00,7.652445,02/26/2004 23:58:00,11.45622
02/27/2004 23:58:00,6.1276,02/27/2004 23:58:00,7.65275964,02/27/2004 23:58:00,11.44574404
03/01/2004 23:58:00,6.1455,03/01/2004 23:58:00,7.66774035,03/01/2004 23:58:00,11.4773358
03/02/2004 23:58:00,6.1595,03/02/2004 23:58:00,7.5133581,03/02/2004 23:58:00,11.3199291
03/03/2004 23:58:00,6.1031,03/03/2004 23:58:00,7.43723766,03/03/2004 23:58:00,11.15219463
03/04/2004 23:58:00,6.1433,03/04/2004 23:58:00,7.49544033,03/04/2004 23:58:00,11.19677858
03/05/2004 23:58:00,6.1529,03/05/2004 23:58:00,7.60683027,03/05/2004 23:58:00,11.35517695
03/08/2004 23:58:00,6.1238,03/08/2004 23:58:00,7.6057596,03/08/2004 23:58:00,11.34250236
03/09/2004 23:58:00,6.2028,03/09/2004 23:58:00,7.63812792,03/09/2004 23:58:00,11.3232114
03/10/2004 23:58:00,6.1467,03/10/2004 23:58:00,7.5174141,03/10/2004 23:58:00,11.08065609
03/11/2004 23:58:00,6.1082,03/11/2004 23:58:00,7.54179454,03/11/2004 23:58:00,11.05400954
03/12/2004 23:58:00,6.1345,03/12/2004 23:58:00,7.49574555,03/12/2004 23:58:00,11.06357075
03/15/2004 23:58:00,6.1372,03/15/2004 23:58:00,7.52788952,03/15/2004 23:58:00,11.0715088
03/16/2004 23:58:00,6.1425,03/16/2004 23:58:00,7.5294765,03/16/2004 23:58:00,11.135124
03/17/2004 23:58:00,6.136,03/17/2004 23:58:00,7.5000328,03/17/2004 23:58:00,11.1448168
03/18/2004 23:58:00,6.1521,03/18/2004 23:58:00,7.61814543,03/18/2004 23:58:00,11.28848829
03/19/2004 23:58:00,6.1607,03/19/2004 23:58:00,7.56595567,03/19/2004 23:58:00,11.2987238
03/22/2004 23:58:00,6.1628,03/22/2004 23:58:00,7.60612776,03/22/2004 23:58:00,11.38454044
03/23/2004 23:58:00,6.1376,03/23/2004 23:58:00,7.57502592,03/23/2004 23:58:00,11.36499392
03/24/2004 23:58:00,6.2044,03/24/2004 23:58:00,7.5290394,03/24/2004 23:58:00,11.32365044
03/25/2004 23:58:00,6.1919,03/25/2004 23:58:00,7.5107747,03/25/2004 23:58:00,11.19124006
03/26/2004 23:58:00,6.1481,03/26/2004 23:58:00,7.44842315,03/26/2004 23:58:00,11.17171251
03/29/2004 23:58:00,6.143,03/29/2004 23:58:00,7.469888,03/29/2004 23:58:00,11.1710455
03/30/2004 23:58:00,6.1511,03/30/2004 23:58:00,7.49142469,03/30/2004 23:58:00,11.2380597
03/31/2004 23:58:00,6.1403,03/31/2004 23:58:00,7.55748124,03/31/2004 23:58:00,11.31780096
04/01/2004 23:58:00,6.1298,04/01/2004 23:58:00,7.57827174,04/01/2004 23:58:00,11.3769088
04/02/2004 23:58:00,6.1521,04/02/2004 23:58:00,7.45696041,04/02/2004 23:58:00,11.24357796
04/05/2004 23:58:00,6.1191,04/05/2004 23:58:00,7.3490391,04/05/2004 23:58:00,11.15817885
04/06/2004 23:58:00,6.1412,04/06/2004 23:58:00,7.44743324,04/06/2004 23:58:00,11.3182316
04/07/2004 23:58:00,6.1283,04/07/2004 23:58:00,7.45385129,04/07/2004 23:58:00,11.27423351
04/08/2004 23:58:00,6.1317,04/08/2004 23:58:00,7.4009619,04/08/2004 23:58:00,11.22469002
04/09/2004 23:58:00,6.1282,04/09/2004 23:58:00,7.41328354,04/09/2004 23:58:00,11.2360547
04/12/2004 23:58:00,6.1353,04/12/2004 23:58:00,7.40346651,04/12/2004 23:58:00,11.27238669
04/13/2004 23:58:00,6.1368,04/13/2004 23:58:00,7.32242976,04/13/2004 23:58:00,11.15424768
04/14/2004 23:58:00,6.1663,04/14/2004 23:58:00,7.36317883,04/14/2004 23:58:00,11.0315107
04/15/2004 23:58:00,6.1277,04/15/2004 23:58:00,7.34221014,04/15/2004 23:58:00,10.97409793
04/16/2004 23:58:00,6.1783,04/16/2004 23:58:00,7.4016034,04/16/2004 23:58:00,11.09499114
04/19/2004 23:58:00,6.1736,04/19/2004 23:58:00,7.4114068,04/19/2004 23:58:00,11.15322576
04/20/2004 23:58:00,6.1964,04/20/2004 23:58:00,7.3365376,04/20/2004 23:58:00,11.0574758
04/21/2004 23:58:00,6.1771,04/21/2004 23:58:00,7.29021342,04/21/2004 23:58:00,10.92976074
04/22/2004 23:58:00,6.1006,04/22/2004 23:58:00,7.27252526,04/22/2004 23:58:00,10.828565
04/23/2004 23:58:00,6.1121,04/23/2004 23:58:00,7.23794882,04/23/2004 23:58:00,10.83430846
04/26/2004 23:58:00,6.1428,04/26/2004 23:58:00,7.28413224,04/26/2004 23:58:00,10.96858368
04/27/2004 23:58:00,6.1433,04/27/2004 23:58:00,7.32527092,04/27/2004 23:58:00,11.00817927
04/28/2004 23:58:00,6.1382,04/28/2004 23:58:00,7.26701498,04/28/2004 23:58:00,10.8676831
04/29/2004 23:58:00,6.1527,04/29/2004 23:58:00,7.35555285,04/29/2004 23:58:00,10.90812183
04/30/2004 23:58:00,6.157,04/30/2004 23:58:00,7.376086,04/30/2004 23:58:00,10.947146
05/03/2004 23:58:00,6.1558,05/03/2004 23:58:00,7.34448498,05/03/2004 23:58:00,10.9019218
05/04/2004 23:58:00,6.1455,05/04/2004 23:58:00,7.43421135,05/04/2004 23:58:00,11.0324016
05/05/2004 23:58:00,6.1299,05/05/2004 23:58:00,7.45150644,05/05/2004 23:58:00,10.97926389
05/06/2004 23:58:00,6.1347,05/06/2004 23:58:00,7.40642331,05/06/2004 23:58:00,11.00749221
05/07/2004 23:58:00,6.1351,05/07/2004 23:58:00,7.28543125,05/07/2004 23:58:00,10.97385337
05/10/2004 23:58:00,6.1449,05/10/2004 23:58:00,7.27740507,05/10/2004 23:58:00,10.91825832
05/11/2004 23:58:00,6.0998,05/11/2004 23:58:00,7.2435125,05/11/2004 23:58:00,10.73625798
05/12/2004 23:58:00,6.1432,05/12/2004 23:58:00,7.3134796,05/12/2004 23:58:00,10.88759336
05/13/2004 23:58:00,6.134,05/13/2004 23:58:00,7.23812,05/13/2004 23:58:00,10.7939998
05/14/2004 23:58:00,6.1232,05/14/2004 23:58:00,7.27926016,05/14/2004 23:58:00,10.7645856
05/17/2004 23:58:00,6.1417,05/17/2004 23:58:00,7.3823234,05/17/2004 23:58:00,10.87633653
05/18/2004 23:58:00,6.1481,05/18/2004 23:58:00,7.34206102,05/18/2004 23:58:00,10.85692979
05/19/2004 23:58:00,6.1517,05/19/2004 23:58:00,7.38204,05/19/2004 23:58:00,10.96109906
05/20/2004 23:58:00,6.1749,05/20/2004 23:58:00,7.38147546,05/20/2004 23:58:00,10.96168248
05/21/2004 23:58:00,6.1647,05/21/2004 23:58:00,7.4099694,05/21/2004 23:58:00,11.0224836
05/24/2004 23:58:00,6.1379,05/24/2004 23:58:00,7.3593421,05/24/2004 23:58:00,10.9929789
05/25/2004 23:58:00,6.1495,05/25/2004 23:58:00,7.4384352,05/25/2004 23:58:00,11.13612955
05/26/2004 23:58:00,6.1406,05/26/2004 23:58:00,7.43565254,05/26/2004 23:58:00,11.14150464
05/27/2004 23:58:00,6.1496,05/27/2004 23:58:00,7.5455592,05/27/2004 23:58:00,11.2906656
05/28/2004 23:58:00,6.1449,05/28/2004 23:58:00,7.50415188,05/28/2004 23:58:00,11.25930027
05/31/2004 23:58:00,6.154,05/31/2004 23:58:00,7.504803,05/31/2004 23:58:00,11.2747434
06/01/2004 23:58:00,6.1293,06/01/2004 23:58:00,7.5022632,06/01/2004 23:58:00,11.27729907
06/02/2004 23:58:00,6.1681,06/02/2004 23:58:00,7.53371734,06/02/2004 23:58:00,11.31044497
06/03/2004 23:58:00,6.1571,06/03/2004 23:58:00,7.52151336,06/03/2004 23:58:00,11.32167548
06/04/2004 23:58:00,6.1563,06/04/2004 23:58:00,7.55254884,06/04/2004 23:58:00,11.31712629
06/07/2004 23:58:00,6.1608,06/07/2004 23:58:00,7.58948952,06/07/2004 23:58:00,11.34018456
06/08/2004 23:58:00,6.1628,06/08/2004 23:58:00,7.55374396,06/08/2004 23:58:00,11.3333892
06/09/2004 23:58:00,6.1886,06/09/2004 23:58:00,7.4510744,06/09/2004 23:58:00,11.31090422
06/10/2004 23:58:00,6.1912,06/10/2004 23:58:00,7.49259024,06/10/2004 23:58:00,11.40233304
06/11/2004 23:58:00,6.1896,06/11/2004 23:58:00,7.42937688,06/11/2004 23:58:00,11.24774112
06/14/2004 23:58:00,6.1528,06/14/2004 23:58:00,7.4202768,06/14/2004 23:58:00,11.1581028
06/15/2004 23:58:00,6.137,06/15/2004 23:58:00,7.4650468,06/15/2004 23:58:00,11.249121
06/16/2004 23:58:00,6.143,06/16/2004 23:58:00,7.3722143,06/16/2004 23:58:00,11.2091321
06/17/2004 23:58:00,6.1494,06/17/2004 23:58:00,7.3977282,06/17/2004 23:58:00,11.27738466
06/18/2004 23:58:00,6.1379,06/18/2004 23:58:00,7.4514106,06/18/2004 23:58:00,11.28575673
06/21/2004 23:58:00,6.1445,06/21/2004 23:58:00,7.447134,06/21/2004 23:58:00,11.2604107
06/22/2004 23:58:00,6.1314,06/22/2004 23:58:00,7.43003052,06/22/2004 23:58:00,11.16895824
06/23/2004 23:58:00,6.184,06/23/2004 23:58:00,7.473364,06/23/2004 23:58:00,11.233236
06/24/2004 23:58:00,6.147,06/24/2004 23:58:00,7.480899,06/24/2004 23:58:00,11.2065957
06/25/2004 23:58:00,6.1303,06/25/2004 23:58:00,7.47590085,06/25/2004 23:58:00,11.19086265
06/28/2004 23:58:00,6.1658,06/28/2004 23:58:00,7.51241072,06/28/2004 23:58:00,11.2803311
06/29/2004 23:58:00,6.1893,06/29/2004 23:58:00,7.48472049,06/29/2004 23:58:00,11.19396798
06/30/2004 23:58:00,6.1453,06/30/2004 23:58:00,7.4849754,06/30/2004 23:58:00,11.18383147
07/01/2004 23:58:00,6.1767,07/01/2004 23:58:00,7.50901419,07/01/2004 23:58:00,11.241594
07/02/2004 23:58:00,6.1795,07/02/2004 23:58:00,7.60758245,07/02/2004 23:58:00,11.3023055
07/05/2004 23:58:00,6.1446,07/05/2004 23:58:00,7.55355678,07/05/2004 23:58:00,11.25199152
07/06/2004 23:58:00,6.1852,07/06/2004 23:58:00,7.59604412,07/06/2004 23:58:00,11.380768
07/07/2004 23:58:00,6.1702,07/07/2004 23:58:00,7.63006932,07/07/2004 23:58:00,11.4395508
07/08/2004 23:58:00,6.189,07/08/2004 23:58:00,7.6687899,07/08/2004 23:58:00,11.4533634
07/09/2004 23:58:00,6.1778,07/09/2004 23:58:00,7.66850314,07/09/2004 23:58:00,11.49812136
07/12/2004 23:58:00,6.3534,07/12/2004 23:58:00,7.87948668,07/12/2004 23:58:00,11.82621876
07/13/2004 23:58:00,6.1611,07/13/2004 23:58:00,7.59478797,07/13/2004 23:58:00,11.44301103
07/14/2004 23:58:00,6.1643,07/14/2004 23:58:00,7.63201983,07/14/2004 23:58:00,11.43847508
07/15/2004 23:58:00,6.1553,07/15/2004 23:58:00,7.60302656,07/15/2004 23:58:00,11.40207772
07/16/2004 23:58:00,6.1447,07/16/2004 23:58:00,7.65138044,07/16/2004 23:58:00,11.50410734
07/19/2004 23:58:00,6.159,07/19/2004 23:58:00,7.6593324,07/19/2004 23:58:00,11.5037802
07/20/2004 23:58:00,6.2107,07/20/2004 23:58:00,7.65717203,07/20/2004 23:58:00,11.50470068
07/21/2004 23:58:00,6.1463,07/21/2004 23:58:00,7.53474917,07/21/2004 23:58:00,11.30550422
07/22/2004 23:58:00,6.1906,07/22/2004 23:58:00,7.58472312,07/22/2004 23:58:00,11.41670452
07/23/2004 23:58:00,6.1998,07/23/2004 23:58:00,7.50361794,07/23/2004 23:58:00,11.36051352
07/26/2004 23:58:00,6.1655,07/26/2004 23:58:00,7.4824508,07/26/2004 23:58:00,11.34760275
07/27/2004 23:58:00,6.1639,07/27/2004 23:58:00,7.43243062,07/27/2004 23:58:00,11.23000941
07/28/2004 23:58:00,6.1627,07/28/2004 23:58:00,7.42173961,07/28/2004 23:58:00,11.23275329
07/29/2004 23:58:00,6.1914,07/29/2004 23:58:00,7.45011162,07/29/2004 23:58:00,11.25472692
07/30/2004 23:58:00,6.1875,07/30/2004 23:58:00,7.43180625,07/30/2004 23:58:00,11.27053125
08/02/2004 23:58:00,6.1705,08/02/2004 23:58:00,7.41632395,08/02/2004 23:58:00,11.2512897
08/03/2004 23:58:00,6.1752,08/03/2004 23:58:00,7.441116,08/03/2004 23:58:00,11.2635648
08/04/2004 23:58:00,6.1839,08/04/2004 23:58:00,7.45654662,08/04/2004 23:58:00,11.28623589
08/05/2004 23:58:00,6.1434,08/05/2004 23:58:00,7.40156832,08/05/2004 23:58:00,11.20187556
08/06/2004 23:58:00,6.1252,08/06/2004 23:58:00,7.53460852,08/06/2004 23:58:00,11.3132444
08/09/2004 23:58:00,6.1647,08/09/2004 23:58:00,7.5640869,08/09/2004 23:58:00,11.34551388
08/10/2004 23:58:00,6.2101,08/10/2004 23:58:00,7.59557331,08/10/2004 23:58:00,11.34833674
08/11/2004 23:58:00,6.1486,08/11/2004 23:58:00,7.51112976,08/11/2004 23:58:00,11.25378258
08/12/2004 23:58:00,6.1878,08/12/2004 23:58:00,7.57139208,08/12/2004 23:58:00,11.27912184
08/13/2004 23:58:00,6.1807,08/13/2004 23:58:00,7.64676204,08/13/2004 23:58:00,11.45839973
08/16/2004 23:58:00,6.1695,08/16/2004 23:58:00,7.62241725,08/16/2004 23:58:00,11.3580495
08/17/2004 23:58:00,6.2,08/17/2004 23:58:00,7.65142,08/17/2004 23:58:00,11.32988
08/18/2004 23:58:00,6.1317,08/18/2004 23:58:00,7.56467829,08/18/2004 23:58:00,11.17992861
08/19/2004 23:58:00,6.1844,08/19/2004 23:58:00,7.65072124,08/19/2004 23:58:00,11.33043924
08/20/2004 23:58:00,6.1848,08/20/2004 23:58:00,7.61596272,08/20/2004 23:58:00,11.24767728
08/23/2004 23:58:00,6.2161,08/23/2004 23:58:00,7.55007506,08/23/2004 23:58:00,11.24243846
08/24/2004 23:58:00,6.1857,08/24/2004 23:58:00,7.47170703,08/24/2004 23:58:00,11.08601154
08/25/2004 23:58:00,6.1895,08/25/2004 23:58:00,7.4793918,08/25/2004 23:58:00,11.11448515
08/26/2004 23:58:00,6.1531,08/26/2004 23:58:00,7.44402038,08/26/2004 23:58:00,11.04666043
08/27/2004 23:58:00,6.1654,08/27/2004 23:58:00,7.40587848,08/27/2004 23:58:00,11.03421638
08/30/2004 23:58:00,6.1744,08/30/2004 23:58:00,7.43768224,08/30/2004 23:58:00,11.08119568
08/31/2004 23:58:00,6.1911,08/31/2004 23:58:00,7.53704514,08/31/2004 23:58:00,11.15883864
09/01/2004 23:58:00,6.1889,09/01/2004 23:58:00,7.54117465,09/01/2004 23:58:00,11.0966977
09/02/2004 23:58:00,6.1488,09/02/2004 23:58:00,7.48247472,09/02/2004 23:58:00,11.01373056
09/03/2004 23:58:00,6.155,09/03/2004 23:58:00,7.4173905,09/03/2004 23:58:00,10.927587
09/06/2004 23:58:00,6.1953,09/06/2004 23:58:00,7.47339039,09/06/2004 23:58:00,11.027634
09/07/2004 23:58:00,6.1679,09/07/2004 23:58:00,7.46007505,09/07/2004 23:58:00,10.94432176
09/08/2004 23:58:00,6.1858,09/08/2004 23:58:00,7.53801588,09/08/2004 23:58:00,11.05464318
09/09/2004 23:58:00,6.1645,09/09/2004 23:58:00,7.5441151,09/09/2004 23:58:00,11.0369208
09/10/2004 23:58:00,6.2029,09/10/2004 23:58:00,7.60785685,09/10/2004 23:58:00,11.16211855
09/13/2004 23:58:00,6.1872,09/13/2004 23:58:00,7.58488848,09/13/2004 23:58:00,11.11901712
09/14/2004 23:58:00,6.2131,09/14/2004 23:58:00,7.61539667,09/14/2004 23:58:00,11.16866856
09/15/2004 23:58:00,6.187,09/15/2004 23:58:00,7.5184424,09/15/2004 23:58:00,10.9893494
09/16/2004 23:58:00,6.1624,09/16/2004 23:58:00,7.51011688,09/16/2004 23:58:00,11.05041568
09/17/2004 23:58:00,6.1729,09/17/2004 23:58:00,7.52044407,09/17/2004 23:58:00,11.05689848
09/20/2004 23:58:00,6.1909,09/20/2004 23:58:00,7.53308712,09/20/2004 23:58:00,11.05880467
09/21/2004 23:58:00,6.1664,09/21/2004 23:58:00,7.600088,09/21/2004 23:58:00,11.07608768
09/22/2004 23:58:00,6.1745,09/22/2004 23:58:00,7.57055445,09/22/2004 23:58:00,11.0708785
09/23/2004 23:58:00,6.1912,09/23/2004 23:58:00,7.59412592,09/23/2004 23:58:00,11.12930112
09/24/2004 23:58:00,6.1639,09/24/2004 23:58:00,7.5631053,09/24/2004 23:58:00,11.12152477
09/27/2004 23:58:00,6.1985,09/27/2004 23:58:00,7.62601455,09/27/2004 23:58:00,11.22734305
09/28/2004 23:58:00,6.2062,09/28/2004 23:58:00,7.64479716,09/28/2004 23:58:00,11.25370246
09/29/2004 23:58:00,6.1881,09/29/2004 23:58:00,7.63364016,09/29/2004 23:58:00,11.13858
09/30/2004 23:58:00,6.1886,09/30/2004 23:58:00,7.69428638,09/30/2004 23:58:00,11.21745636
10/01/2004 23:58:00,6.1857,10/01/2004 23:58:00,7.66593801,10/01/2004 23:58:00,11.12127003
10/04/2004 23:58:00,6.1885,10/04/2004 23:58:00,7.6031911,10/04/2004 23:58:00,11.040284
10/05/2004 23:58:00,6.2038,10/05/2004 23:58:00,7.6368778,10/05/2004 23:58:00,11.05703274
10/06/2004 23:58:00,6.2079,10/06/2004 23:58:00,7.62205962,10/06/2004 23:58:00,11.04571647
10/07/2004 23:58:00,6.1874,10/07/2004 23:58:00,7.6074083,10/07/2004 23:58:00,11.02780302
10/08/2004 23:58:00,6.1941,10/08/2004 23:58:00,7.68130341,10/08/2004 23:58:00,11.11593186
10/11/2004 23:58:00,6.1982,10/11/2004 23:58:00,7.6733716,10/11/2004 23:58:00,11.14622306
10/12/2004 23:58:00,6.1907,10/12/2004 23:58:00,7.62570426,10/12/2004 23:58:00,11.08630556
10/13/2004 23:58:00,6.1558,10/13/2004 23:58:00,7.59871952,10/13/2004 23:58:00,11.03611824
10/14/2004 23:58:00,6.2084,10/14/2004 23:58:00,7.6922076,10/14/2004 23:58:00,11.15276976
10/15/2004 23:58:00,6.2109,10/15/2004 23:58:00,7.74809775,10/15/2004 23:58:00,11.2044636
10/18/2004 23:58:00,6.1672,10/18/2004 23:58:00,7.69851576,10/18/2004 23:58:00,11.08492528
10/19/2004 23:58:00,6.1988,10/19/2004 23:58:00,7.7577982,10/19/2004 23:58:00,11.1795358
10/20/2004 23:58:00,6.2298,10/20/2004 23:58:00,7.83272754,10/20/2004 23:58:00,11.3133168
10/21/2004 23:58:00,6.2147,10/21/2004 23:58:00,7.84046552,10/21/2004 23:58:00,11.35487837
10/22/2004 23:58:00,6.1885,10/22/2004 23:58:00,7.8507311,10/22/2004 23:58:00,11.31690995
10/25/2004 23:58:00,6.1868,10/25/2004 23:58:00,7.9221974,10/25/2004 23:58:00,11.39175484
10/26/2004 23:58:00,6.1998,10/26/2004 23:58:00,7.91218476,10/26/2004 23:58:00,11.3797329
10/27/2004 23:58:00,6.1812,10/27/2004 23:58:00,7.85259648,10/27/2004 23:58:00,11.29737924
10/29/2004 23:58:00,6.1725,10/29/2004 23:58:00,7.89647925,10/29/2004 23:58:00,11.34196875
11/01/2004 23:58:00,6.207,11/01/2004 23:58:00,7.9102008,11/01/2004 23:58:00,11.3730861
11/02/2004 23:58:00,6.1686,11/02/2004 23:58:00,7.8433749,11/02/2004 23:58:00,11.34590598
11/03/2004 23:58:00,6.1863,11/03/2004 23:58:00,7.92959934,11/03/2004 23:58:00,11.42733336
11/04/2004 23:58:00,6.1806,11/04/2004 23:58:00,7.95381414,11/04/2004 23:58:00,11.3939361
11/05/2004 23:58:00,6.1666,11/05/2004 23:58:00,7.99376358,11/05/2004 23:58:00,11.44952622
11/08/2004 23:58:00,6.2307,11/08/2004 23:58:00,8.04009528,11/08/2004 23:58:00,11.55421008
11/09/2004 23:58:00,6.204,11/09/2004 23:58:00,7.9994376,11/09/2004 23:58:00,11.5102812
11/10/2004 23:58:00,6.1807,11/10/2004 23:58:00,7.96135967,11/10/2004 23:58:00,11.41142641
11/11/2004 23:58:00,6.1521,11/11/2004 23:58:00,7.93928505,11/11/2004 23:58:00,11.33708988
11/12/2004 23:58:00,6.1515,11/12/2004 23:58:00,7.9698834,11/12/2004 23:58:00,11.42149005
11/15/2004 23:58:00,6.1611,11/15/2004 23:58:00,7.96938285,11/15/2004 23:58:00,11.3672295
